,Precinct,Race,Candidate,Total Votes,Vote Percentage
6855,3153,District 10,Madison Gutierrez,24,6.88
6856,3153,District 10,Robert Flores,50,14.33
6857,3153,District 10,Margaret Sherwood,22,6.3
6858,3153,District 10,Rick Otley,17,4.87
6859,3153,District 10,Bryan R. Martin,27,7.74
6860,3153,District 10,Marc Whyte,165,47.28
6861,3153,District 10,Joel Solis,44,12.61
6864,3154,Mayor,Ray Adam Basaldua,8,1.32
6865,3154,Mayor,Christopher T. Schuchardt,219,36.2
6866,3154,Mayor,Christopher Longoria,9,1.49
6867,3154,Mayor,Ron Nirenberg,307,50.74
6868,3154,Mayor,Armando Dominguez,0,0.0
6869,3154,Mayor,Michael Idrogo,0,0.0
6870,3154,Mayor,Gary Allen,39,6.45
6871,3154,Mayor,Michael Samaniego,17,2.81
6872,3154,Mayor,Diana Flores Uriegas,6,0.99
6875,3154,District 9,Jarrett Lipman,132,21.82
6876,3154,District 9,David Allan Lara,40,6.61
6877,3154,District 9,John Courage,408,67.44
6878,3154,District 9,Dominque Lui,25,4.13
6881,3155,Mayor,Ray Adam Basaldua,5,0.83
6882,3155,Mayor,Christopher T. Schuchardt,194,32.07
6883,3155,Mayor,Christopher Longoria,23,3.8
6884,3155,Mayor,Ron Nirenberg,285,47.11
6885,3155,Mayor,Armando Dominguez,2,0.33
6886,3155,Mayor,Michael Idrogo,3,0.5
6887,3155,Mayor,Gary Allen,66,10.91
6888,3155,Mayor,Michael Samaniego,20,3.31
6889,3155,Mayor,Diana Flores Uriegas,7,1.16
6892,3155,District 9,Jarrett Lipman,169,28.64
6893,3155,District 9,David Allan Lara,35,5.93
6894,3155,District 9,John Courage,363,61.53
6895,3155,District 9,Dominque Lui,23,3.9
6898,3156,Mayor,Ray Adam Basaldua,0,0.0
6899,3156,Mayor,Christopher T. Schuchardt,0,0.0
6900,3156,Mayor,Christopher Longoria,0,0.0
6901,3156,Mayor,Ron Nirenberg,3,100.0
6902,3156,Mayor,Armando Dominguez,0,0.0
6903,3156,Mayor,Michael Idrogo,0,0.0
6904,3156,Mayor,Gary Allen,0,0.0
6905,3156,Mayor,Michael Samaniego,0,0.0
6906,3156,Mayor,Diana Flores Uriegas,0,0.0
6909,3156,District 10,Madison Gutierrez,1,50.0
6910,3156,District 10,Robert Flores,0,0.0
6911,3156,District 10,Margaret Sherwood,0,0.0
6912,3156,District 10,Rick Otley,0,0.0
6913,3156,District 10,Bryan R. Martin,0,0.0
6914,3156,District 10,Marc Whyte,0,0.0
6915,3156,District 10,Joel Solis,1,50.0
6918,3157,Mayor,Ray Adam Basaldua,6,0.76
6919,3157,Mayor,Christopher T. Schuchardt,282,35.56
6920,3157,Mayor,Christopher Longoria,13,1.64
6921,3157,Mayor,Ron Nirenberg,414,52.21
6922,3157,Mayor,Armando Dominguez,4,0.5
6923,3157,Mayor,Michael Idrogo,1,0.13
6924,3157,Mayor,Gary Allen,50,6.31
6925,3157,Mayor,Michael Samaniego,14,1.77
6926,3157,Mayor,Diana Flores Uriegas,9,1.13
6929,3157,District 10,Madison Gutierrez,29,3.83
6930,3157,District 10,Robert Flores,59,7.78
6931,3157,District 10,Margaret Sherwood,37,4.88
6932,3157,District 10,Rick Otley,27,3.56
6933,3157,District 10,Bryan R. Martin,49,6.46
6934,3157,District 10,Marc Whyte,437,57.65
6935,3157,District 10,Joel Solis,120,15.83
6938,3159,Mayor,Ray Adam Basaldua,4,1.31
6939,3159,Mayor,Christopher T. Schuchardt,80,26.14
6940,3159,Mayor,Christopher Longoria,5,1.63
6941,3159,Mayor,Ron Nirenberg,188,61.44
6942,3159,Mayor,Armando Dominguez,2,0.65
6943,3159,Mayor,Michael Idrogo,4,1.31
6944,3159,Mayor,Gary Allen,12,3.92
6945,3159,Mayor,Michael Samaniego,8,2.61
6946,3159,Mayor,Diana Flores Uriegas,3,0.98
6949,3159,District 10,Madison Gutierrez,26,8.84
6950,3159,District 10,Robert Flores,26,8.84
6951,3159,District 10,Margaret Sherwood,17,5.78
6952,3159,District 10,Rick Otley,9,3.06
6953,3159,District 10,Bryan R. Martin,21,7.14
6954,3159,District 10,Marc Whyte,154,52.38
6955,3159,District 10,Joel Solis,41,13.95
6958,3161,Mayor,Ray Adam Basaldua,5,1.27
6959,3161,Mayor,Christopher T. Schuchardt,108,27.41
6960,3161,Mayor,Christopher Longoria,0,0.0
6961,3161,Mayor,Ron Nirenberg,237,60.15
6962,3161,Mayor,Armando Dominguez,1,0.25
6963,3161,Mayor,Michael Idrogo,0,0.0
6964,3161,Mayor,Gary Allen,23,5.84
6965,3161,Mayor,Michael Samaniego,12,3.05
6966,3161,Mayor,Diana Flores Uriegas,8,2.03
6969,3161,District 9,Jarrett Lipman,86,22.69
6970,3161,District 9,David Allan Lara,29,7.65
6971,3161,District 9,John Courage,241,63.59
6972,3161,District 9,Dominque Lui,23,6.07
6975,3162,Mayor,Ray Adam Basaldua,7,1.64
6976,3162,Mayor,Christopher T. Schuchardt,76,17.76
6977,3162,Mayor,Christopher Longoria,10,2.34
6978,3162,Mayor,Ron Nirenberg,262,61.21
6979,3162,Mayor,Armando Dominguez,2,0.47
6980,3162,Mayor,Michael Idrogo,2,0.47
6981,3162,Mayor,Gary Allen,41,9.58
6982,3162,Mayor,Michael Samaniego,18,4.21
6983,3162,Mayor,Diana Flores Uriegas,10,2.34
6986,3162,District 8,Manny Pelaez,270,69.41
6987,3162,District 8,Cesario Garcia,119,30.59
6990,3163,Mayor,Ray Adam Basaldua,8,1.28
6991,3163,Mayor,Christopher T. Schuchardt,213,34.13
6992,3163,Mayor,Christopher Longoria,13,2.08
6993,3163,Mayor,Ron Nirenberg,293,46.96
6994,3163,Mayor,Armando Dominguez,2,0.32
6995,3163,Mayor,Michael Idrogo,1,0.16
6996,3163,Mayor,Gary Allen,63,10.1
6997,3163,Mayor,Michael Samaniego,20,3.21
6998,3163,Mayor,Diana Flores Uriegas,11,1.76
7001,3163,District 9,Jarrett Lipman,202,32.42
7002,3163,District 9,David Allan Lara,30,4.82
7003,3163,District 9,John Courage,356,57.14
7004,3163,District 9,Dominque Lui,35,5.62
7007,3164,Mayor,Ray Adam Basaldua,0,0.0
7008,3164,Mayor,Christopher T. Schuchardt,1,50.0
7009,3164,Mayor,Christopher Longoria,0,0.0
7010,3164,Mayor,Ron Nirenberg,1,50.0
7011,3164,Mayor,Armando Dominguez,0,0.0
7012,3164,Mayor,Michael Idrogo,0,0.0
7013,3164,Mayor,Gary Allen,0,0.0
7014,3164,Mayor,Michael Samaniego,0,0.0
7015,3164,Mayor,Diana Flores Uriegas,0,0.0
7018,3164,District 9,Jarrett Lipman,0,0.0
7019,3164,District 9,David Allan Lara,0,0.0
7020,3164,District 9,John Courage,1,50.0
7021,3164,District 9,Dominque Lui,1,50.0
7024,3165,Mayor,Ray Adam Basaldua,7,0.64
7025,3165,Mayor,Christopher T. Schuchardt,414,37.57
7026,3165,Mayor,Christopher Longoria,21,1.91
7027,3165,Mayor,Ron Nirenberg,533,48.37
7028,3165,Mayor,Armando Dominguez,3,0.27
7029,3165,Mayor,Michael Idrogo,0,0.0
7030,3165,Mayor,Gary Allen,74,6.72
7031,3165,Mayor,Michael Samaniego,33,2.99
7032,3165,Mayor,Diana Flores Uriegas,17,1.54
7035,3165,District 9,Jarrett Lipman,531,48.99
7036,3165,District 9,David Allan Lara,45,4.15
7037,3165,District 9,John Courage,468,43.17
7038,3165,District 9,Dominque Lui,40,3.69
7041,3166,Mayor,Ray Adam Basaldua,2,1.18
7042,3166,Mayor,Christopher T. Schuchardt,50,29.59
7043,3166,Mayor,Christopher Longoria,1,0.59
7044,3166,Mayor,Ron Nirenberg,100,59.17
7045,3166,Mayor,Armando Dominguez,1,0.59
7046,3166,Mayor,Michael Idrogo,0,0.0
7047,3166,Mayor,Gary Allen,10,5.92
7048,3166,Mayor,Michael Samaniego,3,1.78
7049,3166,Mayor,Diana Flores Uriegas,2,1.18
7052,3166,District 1,Jeremy Roberts,39,24.22
7053,3166,District 1,Roberto Rios Ortega,8,4.97
7054,3166,District 1,Sukh Kaur,47,29.19
7055,3166,District 1,Ernest Salinas,27,16.77
7056,3166,District 1,Lauro Bustamante,4,2.48
7057,3166,District 1,Mario Bravo,27,16.77
7058,3166,District 1,William T. Lamar-Boone,9,5.59
7061,3167,Mayor,Ray Adam Basaldua,0,0.0
7062,3167,Mayor,Christopher T. Schuchardt,0,0.0
7063,3167,Mayor,Christopher Longoria,0,0.0
7064,3167,Mayor,Ron Nirenberg,1,100.0
7065,3167,Mayor,Armando Dominguez,0,0.0
7066,3167,Mayor,Michael Idrogo,0,0.0
7067,3167,Mayor,Gary Allen,0,0.0
7068,3167,Mayor,Michael Samaniego,0,0.0
7069,3167,Mayor,Diana Flores Uriegas,0,0.0
7072,3167,District 1,Jeremy Roberts,1,100.0
7073,3167,District 1,Roberto Rios Ortega,0,0.0
7074,3167,District 1,Sukh Kaur,0,0.0
7075,3167,District 1,Ernest Salinas,0,0.0
7076,3167,District 1,Lauro Bustamante,0,0.0
7077,3167,District 1,Mario Bravo,0,0.0
7078,3167,District 1,William T. Lamar-Boone,0,0.0
7081,3170,Mayor,Ray Adam Basldua,0,
7082,3170,Mayor,Christopher T. Schuchardt,0,
7083,3170,Mayor,Christopher Longoria,0,
7084,3170,Mayor,Ron Nirenberg,0,
7085,3170,Mayor,Armando Dominguez,0,
7086,3170,Mayor,Michael Idrogo,0,
7087,3170,Mayor,Gary Allen,0,
7088,3170,Mayor,Michael Idrogo,0,
7089,3170,Mayor,Diana Flores Uriegas,0,
7092,3170,District 10,Madison Gutierrez,0,
7093,3170,District 10,Robert Flores,0,
7094,3170,District 10,Margaret Sherwood,0,
7095,3170,District 10,Rick Otley,0,
7096,3170,District 10,Bryan R. Martin,0,
7097,3170,District 10,Marc Whyte,0,
7098,3170,District 10,Joel Solis,0,
7101,3172,Mayor,Ray Adam Basaldua,0,0.0
7102,3172,Mayor,Christopher T. Schuchardt,16,16.49
7103,3172,Mayor,Christopher Longoria,1,1.03
7104,3172,Mayor,Ron Nirenberg,62,63.92
7105,3172,Mayor,Armando Dominguez,1,1.03
7106,3172,Mayor,Michael Idrogo,1,1.03
7107,3172,Mayor,Gary Allen,9,9.28
7108,3172,Mayor,Michael Samaniego,3,3.09
7109,3172,Mayor,Diana Flores Uriegas,4,4.12
7112,3172,District 8,Manny Pelaez,59,70.24
7113,3172,District 8,Cesario Garcia,25,29.76
7116,3173,Mayor,Ray Adam Basaldua,10,1.37
7117,3173,Mayor,Christopher T. Schuchardt,234,32.05
7118,3173,Mayor,Christopher Longoria,30,4.11
7119,3173,Mayor,Ron Nirenberg,352,48.22
7120,3173,Mayor,Armando Dominguez,2,0.27
7121,3173,Mayor,Michael Idrogo,3,0.41
7122,3173,Mayor,Gary Allen,53,7.26
7123,3173,Mayor,Michael Samaniego,29,3.97
7124,3173,Mayor,Diana Flores Uriegas,17,2.33
7127,3173,District 9,Jarrett Lipman,220,31.25
7128,3173,District 9,David Allan Lara,46,6.53
7129,3173,District 9,John Courage,397,56.39
7130,3173,District 9,Dominque Lui,41,5.82
7133,3175,Mayor,Ray Adam Basaldua,2,1.22
7134,3175,Mayor,Christopher T. Schuchardt,33,20.12
7135,3175,Mayor,Christopher Longoria,6,3.66
7136,3175,Mayor,Ron Nirenberg,93,56.71
7137,3175,Mayor,Armando Dominguez,1,0.61
7138,3175,Mayor,Michael Idrogo,0,0.0
7139,3175,Mayor,Gary Allen,21,12.8
7140,3175,Mayor,Michael Samaniego,5,3.05
7141,3175,Mayor,Diana Flores Uriegas,3,1.83
7144,3175,District 1,Jeremy Roberts,37,24.67
7145,3175,District 1,Roberto Rios Ortega,5,3.33
7146,3175,District 1,Sukh Kaur,43,28.67
7147,3175,District 1,Ernest Salinas,26,17.33
7148,3175,District 1,Lauro Bustamante,8,5.33
7149,3175,District 1,Mario Bravo,24,16.0
7150,3175,District 1,William T. Lamar-Boone,7,4.67
7153,3177,Mayor,Ray Adam Basldua,0,
7154,3177,Mayor,Christopher T. Schuchardt,0,
7155,3177,Mayor,Christopher Longoria,0,
7156,3177,Mayor,Ron Nirenberg,0,
7157,3177,Mayor,Armando Dominguez,0,
7158,3177,Mayor,Michael Idrogo,0,
7159,3177,Mayor,Gary Allen,0,
7160,3177,Mayor,Michael Idrogo,0,
7161,3177,Mayor,Diana Flores Uriegas,0,
7164,3177,District 10,Madison Gutierrez,0,
7165,3177,District 10,Robert Flores,0,
7166,3177,District 10,Margaret Sherwood,0,
7167,3177,District 10,Rick Otley,0,
7168,3177,District 10,Bryan R. Martin,0,
7169,3177,District 10,Marc Whyte,0,
7170,3177,District 10,Joel Solis,0,
7173,3178,Mayor,Ray Adam Basldua,0,
7174,3178,Mayor,Christopher T. Schuchardt,0,
7175,3178,Mayor,Christopher Longoria,0,
7176,3178,Mayor,Ron Nirenberg,0,
7177,3178,Mayor,Armando Dominguez,0,
7178,3178,Mayor,Michael Idrogo,0,
7179,3178,Mayor,Gary Allen,0,
7180,3178,Mayor,Michael Idrogo,0,
7181,3178,Mayor,Diana Flores Uriegas,0,
7184,3178,District 2,Rose Requenez,0,
7185,3178,District 2,Edward Earl Giles,0,
7186,3178,District 2,Patrick Jones,0,
7187,3178,District 2,Carla Walker,0,
7188,3178,District 2,Jalen McKee-Rodriguez,0,
7189,3178,District 2,Denise Gutierrez,0,
7190,3178,District 2,James M. Guild,0,
7191,3178,District 2,Michael John Good,0,
7192,3178,District 2,Wendell Carson,0,
7193,3178,District 2,Denise Gutierrez,0,
7196,3179,Mayor,Ray Adam Basldua,0,
7197,3179,Mayor,Christopher T. Schuchardt,0,
7198,3179,Mayor,Christopher Longoria,0,
7199,3179,Mayor,Ron Nirenberg,0,
7200,3179,Mayor,Armando Dominguez,0,
7201,3179,Mayor,Michael Idrogo,0,
7202,3179,Mayor,Gary Allen,0,
7203,3179,Mayor,Michael Idrogo,0,
7204,3179,Mayor,Diana Flores Uriegas,0,
7207,3179,District 9,Jarrett Lipman,0,
7208,3179,District 9,David Allan Lara,0,
7209,3179,District 9,John Courage,0,
7210,3179,District 9,Dominque,0,
7213,3180,Mayor,Ray Adam Basaldua,3,1.16
7214,3180,Mayor,Christopher T. Schuchardt,77,29.73
7215,3180,Mayor,Christopher Longoria,3,1.16
7216,3180,Mayor,Ron Nirenberg,148,57.14
7217,3180,Mayor,Armando Dominguez,4,1.54
7218,3180,Mayor,Michael Idrogo,0,0.0
7219,3180,Mayor,Gary Allen,10,3.86
7220,3180,Mayor,Michael Samaniego,5,1.93
7221,3180,Mayor,Diana Flores Uriegas,9,3.47
7224,3180,District 9,Jarrett Lipman,36,14.29
7225,3180,District 9,David Allan Lara,16,6.35
7226,3180,District 9,John Courage,191,75.79
7227,3180,District 9,Dominque Lui,9,3.57
7230,3181,Mayor,Ray Adam Basaldua,10,1.29
7231,3181,Mayor,Christopher T. Schuchardt,265,34.06
7232,3181,Mayor,Christopher Longoria,20,2.57
7233,3181,Mayor,Ron Nirenberg,376,48.33
7234,3181,Mayor,Armando Dominguez,3,0.39
7235,3181,Mayor,Michael Idrogo,2,0.26
7236,3181,Mayor,Gary Allen,56,7.2
7237,3181,Mayor,Michael Samaniego,29,3.73
7238,3181,Mayor,Diana Flores Uriegas,17,2.19
7241,3181,District 9,Jarrett Lipman,249,32.85
7242,3181,District 9,David Allan Lara,33,4.35
7243,3181,District 9,John Courage,436,57.52
7244,3181,District 9,Dominque Lui,40,5.28
7247,3182,Mayor,Ray Adam Basaldua,2,0.85
7248,3182,Mayor,Christopher T. Schuchardt,53,22.46
7249,3182,Mayor,Christopher Longoria,6,2.54
7250,3182,Mayor,Ron Nirenberg,144,61.02
7251,3182,Mayor,Armando Dominguez,1,0.42
7252,3182,Mayor,Michael Idrogo,3,1.27
7253,3182,Mayor,Gary Allen,12,5.08
7254,3182,Mayor,Michael Samaniego,10,4.24
7255,3182,Mayor,Diana Flores Uriegas,5,2.12
7258,3182,District 1,Jeremy Roberts,55,24.89
7259,3182,District 1,Roberto Rios Ortega,5,2.26
7260,3182,District 1,Sukh Kaur,67,30.32
7261,3182,District 1,Ernest Salinas,36,16.29
7262,3182,District 1,Lauro Bustamante,5,2.26
7263,3182,District 1,Mario Bravo,46,20.81
7264,3182,District 1,William T. Lamar-Boone,7,3.17
7267,3188,Mayor,Ray Adam Basldua,0,
7268,3188,Mayor,Christopher T. Schuchardt,0,
7269,3188,Mayor,Christopher Longoria,0,
7270,3188,Mayor,Ron Nirenberg,0,
7271,3188,Mayor,Armando Dominguez,0,
7272,3188,Mayor,Michael Idrogo,0,
7273,3188,Mayor,Gary Allen,0,
7274,3188,Mayor,Michael Idrogo,0,
7275,3188,Mayor,Diana Flores Uriegas,0,
7278,3188,District 8,Manny Pelaez,0,
7279,3188,District 8,Cesario Garcia,0,
7282,3190,Mayor,Ray Adam Basaldua,0,0.0
7283,3190,Mayor,Christopher T. Schuchardt,6,24.0
7284,3190,Mayor,Christopher Longoria,2,8.0
7285,3190,Mayor,Ron Nirenberg,15,60.0
7286,3190,Mayor,Armando Dominguez,0,0.0
7287,3190,Mayor,Michael Idrogo,0,0.0
7288,3190,Mayor,Gary Allen,2,8.0
7289,3190,Mayor,Michael Samaniego,0,0.0
7290,3190,Mayor,Diana Flores Uriegas,0,0.0
7293,3190,District 8,Manny Pelaez,10,55.56
7294,3190,District 8,Cesario Garcia,8,44.44
7297,3192,Mayor,Ray Adam Basldua,0,
7298,3192,Mayor,Christopher T. Schuchardt,0,
7299,3192,Mayor,Christopher Longoria,0,
7300,3192,Mayor,Ron Nirenberg,0,
7301,3192,Mayor,Armando Dominguez,0,
7302,3192,Mayor,Michael Idrogo,0,
7303,3192,Mayor,Gary Allen,0,
7304,3192,Mayor,Michael Idrogo,0,
7305,3192,Mayor,Diana Flores Uriegas,0,
7308,3192,District 9,Jarrett Lipman,0,
7309,3192,District 9,David Allan Lara,0,
7310,3192,District 9,John Courage,0,
7311,3192,District 9,Dominque,0,
7314,3193,Mayor,Ray Adam Basaldua,0,0.0
7315,3193,Mayor,Christopher T. Schuchardt,16,28.57
7316,3193,Mayor,Christopher Longoria,0,0.0
7317,3193,Mayor,Ron Nirenberg,32,57.14
7318,3193,Mayor,Armando Dominguez,0,0.0
7319,3193,Mayor,Michael Idrogo,0,0.0
7320,3193,Mayor,Gary Allen,7,12.5
7321,3193,Mayor,Michael Samaniego,1,1.79
7322,3193,Mayor,Diana Flores Uriegas,0,0.0
7325,3193,District 9,Jarrett Lipman,12,23.08
7326,3193,District 9,David Allan Lara,5,9.62
7327,3193,District 9,John Courage,31,59.62
7328,3193,District 9,Dominque Lui,4,7.69
7331,3195,Mayor,Ray Adam Basaldua,7,3.57
7332,3195,Mayor,Christopher T. Schuchardt,36,18.37
7333,3195,Mayor,Christopher Longoria,4,2.04
7334,3195,Mayor,Ron Nirenberg,123,62.76
7335,3195,Mayor,Armando Dominguez,2,1.02
7336,3195,Mayor,Michael Idrogo,1,0.51
7337,3195,Mayor,Gary Allen,11,5.61
7338,3195,Mayor,Michael Samaniego,3,1.53
7339,3195,Mayor,Diana Flores Uriegas,9,4.59
7342,3195,District 8,Manny Pelaez,118,69.41
7343,3195,District 8,Cesario Garcia,52,30.59
7346,3197,Mayor,Ray Adam Basldua,0,
7347,3197,Mayor,Christopher T. Schuchardt,0,
7348,3197,Mayor,Christopher Longoria,0,
7349,3197,Mayor,Ron Nirenberg,0,
7350,3197,Mayor,Armando Dominguez,0,
7351,3197,Mayor,Michael Idrogo,0,
7352,3197,Mayor,Gary Allen,0,
7353,3197,Mayor,Michael Idrogo,0,
7354,3197,Mayor,Diana Flores Uriegas,0,
7357,3197,District 10,Madison Gutierrez,0,
7358,3197,District 10,Robert Flores,0,
7359,3197,District 10,Margaret Sherwood,0,
7360,3197,District 10,Rick Otley,0,
7361,3197,District 10,Bryan R. Martin,0,
7362,3197,District 10,Marc Whyte,0,
7363,3197,District 10,Joel Solis,0,
7366,3198,Mayor,Ray Adam Basaldua,2,1.2
7367,3198,Mayor,Christopher T. Schuchardt,43,25.9
7368,3198,Mayor,Christopher Longoria,7,4.22
7369,3198,Mayor,Ron Nirenberg,78,46.99
7370,3198,Mayor,Armando Dominguez,2,1.2
7371,3198,Mayor,Michael Idrogo,1,0.6
7372,3198,Mayor,Gary Allen,19,11.45
7373,3198,Mayor,Michael Samaniego,12,7.23
7374,3198,Mayor,Diana Flores Uriegas,2,1.2
7377,3198,District 8,Manny Pelaez,99,67.81
7378,3198,District 8,Cesario Garcia,47,32.19
7381,3200,Mayor,Ray Adam Basldua,0,
7382,3200,Mayor,Christopher T. Schuchardt,0,
7383,3200,Mayor,Christopher Longoria,0,
7384,3200,Mayor,Ron Nirenberg,0,
7385,3200,Mayor,Armando Dominguez,0,
7386,3200,Mayor,Michael Idrogo,0,
7387,3200,Mayor,Gary Allen,0,
7388,3200,Mayor,Michael Idrogo,0,
7389,3200,Mayor,Diana Flores Uriegas,0,
7392,3200,District 8,Manny Pelaez,0,
7393,3200,District 8,Cesario Garcia,0,
7396,3201,Mayor,Ray Adam Basaldua,0,0.0
7397,3201,Mayor,Christopher T. Schuchardt,0,0.0
7398,3201,Mayor,Christopher Longoria,0,0.0
7399,3201,Mayor,Ron Nirenberg,0,0.0
7400,3201,Mayor,Armando Dominguez,0,0.0
7401,3201,Mayor,Michael Idrogo,0,0.0
7402,3201,Mayor,Gary Allen,1,100.0
7403,3201,Mayor,Michael Samaniego,0,0.0
7404,3201,Mayor,Diana Flores Uriegas,0,0.0
7407,3201,District 9,Jarrett Lipman,0,0.0
7408,3201,District 9,David Allan Lara,0,0.0
7409,3201,District 9,John Courage,1,100.0
7410,3201,District 9,Dominque Lui,0,0.0
7413,3204,Mayor,Ray Adam Basldua,0,
7414,3204,Mayor,Christopher T. Schuchardt,0,
7415,3204,Mayor,Christopher Longoria,0,
7416,3204,Mayor,Ron Nirenberg,0,
7417,3204,Mayor,Armando Dominguez,0,
7418,3204,Mayor,Michael Idrogo,0,
7419,3204,Mayor,Gary Allen,0,
7420,3204,Mayor,Michael Idrogo,0,
7421,3204,Mayor,Diana Flores Uriegas,0,
7424,3204,District 1,Jeremy Roberts,0,
7425,3204,District 1,Roberto Rios Ortega,0,
7426,3204,District 1,Sukh Kaur,0,
7427,3204,District 1,Ernest Salinas,0,
7428,3204,District 1,Lauro Bustamante,0,
7429,3204,District 1,Mario Bravo,0,
7430,3204,District 1,William T. Lamar-Boone,0,
7433,3205,Mayor,Ray Adam Basldua,0,
7434,3205,Mayor,Christopher T. Schuchardt,0,
7435,3205,Mayor,Christopher Longoria,0,
7436,3205,Mayor,Ron Nirenberg,0,
7437,3205,Mayor,Armando Dominguez,0,
7438,3205,Mayor,Michael Idrogo,0,
7439,3205,Mayor,Gary Allen,0,
7440,3205,Mayor,Michael Idrogo,0,
7441,3205,Mayor,Diana Flores Uriegas,0,
7444,3205,District 1,Jeremy Roberts,0,
7445,3205,District 1,Roberto Rios Ortega,0,
7446,3205,District 1,Sukh Kaur,0,
7447,3205,District 1,Ernest Salinas,0,
7448,3205,District 1,Lauro Bustamante,0,
7449,3205,District 1,Mario Bravo,0,
7450,3205,District 1,William T. Lamar-Boone,0,
7453,4001,Mayor,Ray Adam Basaldua,5,1.04
7454,4001,Mayor,Christopher T. Schuchardt,52,10.79
7455,4001,Mayor,Christopher Longoria,5,1.04
7456,4001,Mayor,Ron Nirenberg,370,76.76
7457,4001,Mayor,Armando Dominguez,2,0.41
7458,4001,Mayor,Michael Idrogo,1,0.21
7459,4001,Mayor,Gary Allen,22,4.56
7460,4001,Mayor,Michael Samaniego,13,2.7
7461,4001,Mayor,Diana Flores Uriegas,12,2.49
7464,4001,District 1,Jeremy Roberts,119,26.1
7465,4001,District 1,Roberto Rios Ortega,19,4.17
7466,4001,District 1,Sukh Kaur,167,36.62
7467,4001,District 1,Ernest Salinas,28,6.14
7468,4001,District 1,Lauro Bustamante,11,2.41
7469,4001,District 1,Mario Bravo,93,20.39
7470,4001,District 1,William T. Lamar-Boone,19,4.17
7473,4002,Mayor,Ray Adam Basaldua,1,1.0
7474,4002,Mayor,Christopher T. Schuchardt,10,10.0
7475,4002,Mayor,Christopher Longoria,5,5.0
7476,4002,Mayor,Ron Nirenberg,68,68.0
7477,4002,Mayor,Armando Dominguez,1,1.0
7478,4002,Mayor,Michael Idrogo,0,0.0
7479,4002,Mayor,Gary Allen,4,4.0
7480,4002,Mayor,Michael Samaniego,5,5.0
7481,4002,Mayor,Diana Flores Uriegas,6,6.0
7484,4002,District 2,Rose Requenez Hill,7,7.07
7485,4002,District 2,Edward Earl Giles,0,0.0
7486,4002,District 2,Patrick Jones,11,11.11
7487,4002,District 2,Carla Walker,10,10.1
7488,4002,District 2,Jalen McKee-Rodriguez,56,56.57
7489,4002,District 2,Denise McVea,2,2.02
7490,4002,District 2,James M. Guild,0,0.0
7491,4002,District 2,Michael John Good,2,2.02
7492,4002,District 2,Wendell Carson,0,0.0
7493,4002,District 2,Denise Gutierrez,11,11.11
7496,4003,Mayor,Ray Adam Basaldua,6,3.26
7497,4003,Mayor,Christopher T. Schuchardt,15,8.15
7498,4003,Mayor,Christopher Longoria,1,0.54
7499,4003,Mayor,Ron Nirenberg,142,77.17
7500,4003,Mayor,Armando Dominguez,1,0.54
7501,4003,Mayor,Michael Idrogo,0,0.0
7502,4003,Mayor,Gary Allen,5,2.72
7503,4003,Mayor,Michael Samaniego,6,3.26
7504,4003,Mayor,Diana Flores Uriegas,8,4.35
7507,4003,District 2,Rose Requenez Hill,14,7.61
7508,4003,District 2,Edward Earl Giles,2,1.09
7509,4003,District 2,Patrick Jones,4,2.17
7510,4003,District 2,Carla Walker,10,5.43
7511,4003,District 2,Jalen McKee-Rodriguez,131,71.2
7512,4003,District 2,Denise McVea,3,1.63
7513,4003,District 2,James M. Guild,1,0.54
7514,4003,District 2,Michael John Good,1,0.54
7515,4003,District 2,Wendell Carson,0,0.0
7516,4003,District 2,Denise Gutierrez,18,9.78
7519,4004,Mayor,Ray Adam Basaldua,0,0.0
7520,4004,Mayor,Christopher T. Schuchardt,18,12.95
7521,4004,Mayor,Christopher Longoria,1,0.72
7522,4004,Mayor,Ron Nirenberg,104,74.82
7523,4004,Mayor,Armando Dominguez,0,0.0
7524,4004,Mayor,Michael Idrogo,1,0.72
7525,4004,Mayor,Gary Allen,8,5.76
7526,4004,Mayor,Michael Samaniego,2,1.44
7527,4004,Mayor,Diana Flores Uriegas,5,3.6
7530,4004,District 2,Rose Requenez Hill,12,8.51
7531,4004,District 2,Edward Earl Giles,1,0.71
7532,4004,District 2,Patrick Jones,5,3.55
7533,4004,District 2,Carla Walker,12,8.51
7534,4004,District 2,Jalen McKee-Rodriguez,71,50.35
7535,4004,District 2,Denise McVea,4,2.84
7536,4004,District 2,James M. Guild,3,2.13
7537,4004,District 2,Michael John Good,1,0.71
7538,4004,District 2,Wendell Carson,1,0.71
7539,4004,District 2,Denise Gutierrez,31,21.99
7542,4005,Mayor,Ray Adam Basaldua,4,1.42
7543,4005,Mayor,Christopher T. Schuchardt,14,4.96
7544,4005,Mayor,Christopher Longoria,7,2.48
7545,4005,Mayor,Ron Nirenberg,240,85.11
7546,4005,Mayor,Armando Dominguez,1,0.35
7547,4005,Mayor,Michael Idrogo,2,0.71
7548,4005,Mayor,Gary Allen,2,0.71
7549,4005,Mayor,Michael Samaniego,4,1.42
